,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2021 Odometer Reading,6/30/2022 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,,,
FAC MGMT,1FVHCYCY5EHFR8547,593,67 490S,,2014,Freightliner,Crane Truck,"7,305","7,354",49, , ,,,,,,,,,
FAC MGMT,1FDWE3FL3EDA82851,598,68 106S,,2014,Ford,E350 Cutaway,"37,198","41,925","4,727", , ,,,,,,,$0.00,,
FAC MGMT,1N6BD0CT2EN740014,599,68 111S,,2014,Nissan,Frontier S,"18,208","20,436","2,228", , ,,,,,,,,,
FAC MGMT,NM0LE6E7XE1154768,635,68 115S,,2014,Ford,Transit Connect XL Van,"27,427","32,419","4,992", , ,,,,,,,,,
FAC MGMT,NM0AE8F71E1151145,636,68 122S,,2014,Ford,Transit Connect XLT Wagon,"18,742","21,422","2,680", , ,,,,,,,,,
FAC MGMT,1GB3G2CG8E1199172,638,68 152S,,2014,Chevrolet,G35 Express,"42,781","47,380","4,599", , ,,,,,,,,,
FAC MGMT,1FT7X2A61FEA35344,589,67 492S,,2015,Ford,F250 Supercab P/U,"23,090","25,772","2,682", , ,,,,,,,,,
FAC MGMT,1FT7X2A6XFEA41417,590,67 474S,,2015,Ford,F250 Supercab P/U,"25,315","27,287","1,972", , ,,,,,,,,,
FAC MGMT,1FDRF3HT3FEA23785,591,67 476S,,2015,Ford,F350 4X4,"34,135","38,495","4,360", , ,,,,,,,,,
FAC MGMT,1FT7X2A6XFEA59089,594,67 491S,,2015,Ford,F250 Supercab,"39,473","43,362","3,889", , ,,,,,,,,,
FAC MGMT,1FTBF2B63FEA41416,595,67 489S,,2015,Ford,F250 4X4,"29,420","32,444","3,024", , ,,,,,,,,,
FAC MGMT,1FM5K8B87FGA41755,600,68 110S,,2015,Ford,Explorer,"11,221","13,537","2,316", , ,,,,,,,,,
FAC MGMT,1FDUF5HY5FEA99008,637,68 153S,,2015,Ford,F-550,"33,199","37,571","4,372", , ,,,,,,,,,
FAC MGMT,1GB3KYCG7FF525470,639,68 158S,,2015,Chevrolet,Silverado 4WD,"42,202","47,070","4,868", , ,,,,,,,,,
FAC MGMT,1GB3KYCG0FF506386,640,68 166S,,2015,Chevrolet,Silverado 3500 4WD,"15,116","17,190","2,074", , ,,,,,,,,,
FAC MGMT,1FDRF3H63FEB37733,641,68 165S,,2015,Ford,F350,"28,508","31,873","3,365", , ,,,,,,,,,
FAC MGMT,NM0LS7E75F1177066,643,68 193S,,2015,Ford,Transit Connect XL Van,"22,030","23,680","1,650", , ,,,,,,,,,
FAC MGMT,NM0LS7E78F1177062,644,68 200S,,2015,Ford,Transit Connect XL Van,"28,228","32,936","4,708", , ,,,,,,,,,
FAC MGMT,1GCHTAEA7F1159909,645,68 198S,,2015,Chevrolet,Colorado Ext Cab P/U,"54,168","60,689","6,521", , ,,,,,,,,,
FAC MGMT,NM0LS7E71F1187836,647,68 199S,,2015,Ford,Transit Connect XL Van,"11,125","12,362","1,237", , ,,,,,,,,,
FAC MGMT,NM0LS7E7XF1188712,648,69 462S,,2015,Ford,Transit Connect XL Van,"41,126","44,812","3,686", , ,,,,,,,,,
FAC MGMT,2G1WA5E31F1136845,650,68 867S,,2015,Chevrolet,Impala,"7,729","8,603",874, , ,,,,,,,,,
FAC MGMT,1GCWGFCG1F1210000,652,69 471S,,2015,Chevrolet,Express 2500,"15,841","18,742","2,901", , ,,,,,,,,,
FAC MGMT,1GTH6AEA1F1155104,657,69 917S,,2015,GMC,Canyon,"17,879","20,753","2,874", , ,,,,,,,,,
FAC MGMT,1GC4KYCG3FF649865,660,69 919S,,2015,Chevrolet,Silverado Crew Cab,"20,401","22,376","1,975", , ,,,,,,,,,
FAC MGMT,1FTNR2CM3FKB11211,661,69 920S,,2015,Ford,Transit 250 Mid Roof,"16,699","19,525","2,826", , ,,,,,,,,,
FAC MGMT,1GD01XEG7FZ523091,662,69 940S,,2015,GMC,Sierra 2500,"32,110","37,978","5,868", , ,,,,,,,,,
FAC MGMT,3GCPCPEHXFG397458,663,70 453S,,2015,Chevrolet,Silverado 1500,"43,083","47,194","4,111", , ,,,,,,,,,
FAC MGMT,1GC0KUEG4FZ103210,666,70 473S,,2015,Chevrolet,Silverado 2500,"12,433","14,716","2,283", , ,,,,,,,,,
FAC MGMT,1GB0CUEG6FZ515694,667,70 478S,,2015,Chevrolet,Silverado 2500,"28,119","32,739","4,620", , ,,,,,,,,,
FAC MGMT,3N63M0YN0FK726313,671,70 495S,,2015,Chevrolet,City Express LS,"6,538","7,892","1,354", , ,,,,,,,,,
FAC MGMT,1GTH6BEAXG1102988,656,69 498S,,2016,GMC,Canyon,"40,291","46,317","6,026", , ,,,,,,,,,
FAC MGMT,1GTH5BEA6G1112498,659,69 938S,,2016,GMC,Canyon Ext Cab,"13,016","16,415","3,399", , ,,,,,,,,,
FAC MGMT,1FM5K8B87GGA78497,664,70 474S,,2016,Ford,Explorer,"7,324","7,671",347, , ,,,,,,,,,
FAC MGMT,1FTYE1ZM2GKA06459,665,70 476S,,2016,Ford,Transit,"17,029","21,531","4,502", , ,,,,,,,,,
FAC MGMT,1GT02VEG3GZ160764,668,70 479S,,2016,GMC,Sierra 3500,"5,316","6,616","1,300", , ,,,,,,,,,
FAC MGMT,1C4NJDBB8GD632448,670,70 496S,,2016,Jeep,Compass,"13,549","15,409","1,860", , ,,,,,,,,,
FAC MGMT,NM0LS7E7XG1242088,674,71 055S,,2016,Ford,Transit Connect XL,"17,079","20,762","3,683", , ,,,,,,,,,
FAC MGMT,NM0AE8F75G1241496,675,71 054S,,2016,Ford,Transit Connect XLT Wagon,"8,880","10,110","1,230", , ,,,,,,,,,
FAC MGMT,1C4NJDBB6GD581581,677,71 098S,,2016,Jeep,Compass Sport,"12,994","16,496","3,502", , ,,,,,,,,,
FAC MGMT,1FTYE1ZM9GKA99237,679,71 969S,,2016,Ford,Transit,"6,338","7,059",721, , ,,,,,,,,,
FAC MGMT,1FTYE1ZM2GKA99242,680,71 968S,,2016,Ford,Transit,"14,925","18,196","3,271", , ,,,,,,,,,
FAC MGMT,1GC1CUEG9GF199758,681,71 970S,,2016,Chevrolet,Silverado 2500,"12,754","15,503","2,749", , ,,,,,,,,,
FAC MGMT,1GCHTBE3XG1297131,687,71 991S,,2016,Chevrolet,Colorado Ext Cab P/U,"20,699","23,103","2,404", , ,,,,,,,,,
FAC MGMT,1FD8X3HT4GEC33077,688,72 796S,,2016,Ford,F350 Extd Cab,"27,170","33,634","6,464", , ,,,,,,,,,
FAC MGMT,NM0GE9E70G1276660,689,71 992S,,2016,Ford,Transit Connect XL Wagon LWB,"8,307","9,187",880, , ,,,,,,,,,
FAC MGMT,NM0LS7E78G1278748,700,72 789S,,2016,Ford,Transit Connect XL Van,"14,195","17,070","2,875", , ,,,,,,,,,
FAC MGMT,1GT11REG5GF278220,702,72 790S,,2016,GMC,Sierra Crew Cab w/liftgate,"11,346","14,571","3,225", , ,,,,,,,,,
FAC MGMT,NM0LS7E75G1291375,708,73 105S,,2016,Ford,Transit Connect Van,"8,952","10,707","1,755", , ,,,,,,,,,
FAC MGMT,1GTH5BEA8G1383479,709,73 106S,,2016,GMC,Canyon,"11,853","13,741","1,888", , ,,,,,,,,,
FAC MGMT,NM0LS7E74G1259209,712,73 109S,,2016,Ford,Transit Connect XL Van LWB,"10,310","13,474","3,164", , ,,,,,,,,,
FAC MGMT,1FTYR1CM9GKB14042,714,73 115S,,2016,Ford,Transit Van,"11,236","13,606","2,370", , ,,,,,,,,,
FAC MGMT,1FTYR1CM5GKA99264,717,73 124S,,2016,Ford,Transit 250 Van,"23,096","28,195","5,099", , ,,,,,,,,,
FAC MGMT,NM0LS7E75G1241463,718,73 118S,,2016,Ford,Transit Connect XL Van LWB,"14,131","18,626","4,495", , ,,,,,,,,,
FAC MGMT,NM0LS7E72G1272296,722,73 119S,,2016,Ford,Transit Connect XL Van LWB,"10,495","13,227","2,732", , ,,,,,,,,,
FAC MGMT,NM0LS7E7XG1269999,725,73 126S,,2016,Ford,Transit Connect XL Van LWB,"6,360","7,206",846, , ,,,,,,,,,
FAC MGMT,1FTYR1CM0GKA94831,727,73 128S,,2016,Ford,Transit 250 Van,"11,821","13,396","1,575", , ,,,,,,,,,
FAC MGMT,NMOAE8FX4G1261125,728,73 131S,,2016,Ford,Transit Connect XLT Wagon SWB,"8,216","9,329","1,113", , ,,,,,,,,,
FAC MGMT,NMOAE8F70G1254589,729,73 130S,,2016,Ford,Transit Connect XLT Wagon SWB,"8,405","10,497","2,092", , ,,,,,,,,,
FAC MGMT,NMOLS7E78G1233759,730,73 133S,,2016,Ford,Transit Connect XL Van LWB,"13,165","17,020","3,855", , ,,,,,,,,,
FAC MGMT,NMOLS7E70G1252063,736,73 139S,,2016,Ford,Transit Connect XL Van LWB,"18,517","23,512","4,995", , ,,,,,,,,,
FAC MGMT,1FTYR1ZM7GKA23259,740,73 145S,,2016,Ford,Transit 250 Cargo Van,"26,997","29,413","2,416", , ,,,,,,,,,
FAC MGMT,1FTYR1ZM9GKA30410,741,73 146S,,2016,Ford,Transit 250 Cargo Van,"25,389","27,040","1,651",, ,,,,,,,,,
FAC MGMT,1FTYR1ZM5GKA23258,742,73 147S,,2016,Ford,Transit 250 Cargo Van,"33,397","35,641","2,244",, ,,,,,,,,,
FAC MGMT,ZFBERFAT8G6B83720,751,74 157S,,2016,Dodge,Ram Promaster City Cargo Van,"21,467","23,793","2,326",, ,,,,,,,,,
FAC MGMT,1GTN1LEC4GZ904558 ,752,74 164S,,2016,GMC,Sierra 1500 P/U,"21,225","23,107","1,882",, ,,,,,,,,,
FAC MGMT, 1N6BD0CT5GN711450,757,74 171S,,2016,Nissan,Frontier P/U,"24,994","28,687","3,693",, ,,,,,,,,,
FAC MGMT,1N6BD0CT5GN785483,775,74 178S,,2016,Nissan,Frontier P/U,"16,435","19,253","2,818",, ,,,,,,,,,
FAC MGMT,3N6CM0KN7GK699251,889,76 534S,,2016,Nissan,NV200 S cargo van,"22,134","23,456","1,322",, ,,,,,,,,,
FAC MGMT,1FTBF2A68HEE58258,703,74 162S,,2017,Ford,F250 w/tommy gate lift gate,"19,076","23,034","3,958", , ,,,,,,,,,
FAC MGMT,1FDUF5HYXHEB93114,706,72 795S,,2017,Ford,F550 4x4 DumpTruck,"23,168","27,984","4,816", , ,,,,,,,,,
