,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2024 Odometer Reading,6/30/2025 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,1GT11REG5GF278220,702,72 790S,,2016,GMC,Sierra Crew Cab w/liftgate,"18,880","20,705","1,826", , ,,,,,,,
FAC MGMT,1FTBF2A68HEE58258,703,74 162S,,2017,Ford,F250 w/tommy gate lift gate,"28,415","30,203","1,788", , ,,,,,,,
FAC MGMT,1FDUF5HYXHEB93114,706,72 795S,,2017,Ford,F550 4x4 DumpTruck,"39,122","41,621","2,500", , ,,,,,,,
FAC MGMT,NM0LS7E75G1291375,708,73 105S,,2016,Ford,Transit Connect Van,"15,881","19,505","3,624", , ,,,,,,,
FAC MGMT,1GTH5BEA8G1383479,709,73 106S,,2016,GMC,Canyon,"17,976","20,666","2,690", , ,,,,,,,
FAC MGMT,NM0LS7E74G1259209,712,73 109S,,2016,Ford,Transit Connect XL Van LWB,"19,492","21,146","1,654", , ,,,,,,,
FAC MGMT,1FTYR1CM9GKB14042,714,73 115S,,2016,Ford,Transit Van,"17,659","19,491","1,832", , ,,,,,,,
FAC MGMT,1FTYR1CM5GKA99264,717,73 124S,,2016,Ford,Transit 250 Van,"37,034","41,698","4,663", , ,,,,,,,
FAC MGMT,NM0LS7E75G1241463,718,73 118S,,2016,Ford,Transit Connect XL Van LWB,"29,416","33,654","4,238", , ,,,,,,,
FAC MGMT,1FDNF7AY8HDB04186,719,73 122S,,2017,Ford,F750 Dump Truck w/snowblade&salt spreader,"9,505","10,861","1,356", , ,,,,,,,
FAC MGMT,1FDUF4HY8HEB86124,720,73 121S,,2017,Ford,F450 Dump Truck w/salt spreader,"31,925","36,468","4,543", , ,,,,,,,
FAC MGMT,1FDUF4HYXHEB86125,721,73 123S,,2017,Ford,F450 4x4 Reg Cab,"24,473","27,484","3,011", , ,,,,,,,
FAC MGMT,NM0LS7E72G1272296,722,73 119S,,2016,Ford,Transit Connect XL Van LWB,"17,935","19,924","1,990", , ,,,,,,,
FAC MGMT,1FDUF4HY6HEB86123,723,73 125S,,2017,Ford,F450 4x4 Reg Chasis Cab,"21,615","24,291","2,676", , ,,,,,,,
FAC MGMT,NM0LS7E7XG1269999,725,73 126S,,2016,Ford,Transit Connect XL Van LWB,"10,798","12,654","1,856", , ,,,,,,,
FAC MGMT,1FDUF4HY2HEB80108,726,73 127S,,2017,Ford,F450 4x4 Reg Chasis Cab,"25,565","29,365","3,801", , ,,,,,,,
FAC MGMT,1FTYR1CM0GKA94831,727,73 128S,,2016,Ford,Transit 250 Van,"16,224","17,421","1,197", , ,,,,,,,
FAC MGMT,NM0AE8FX4G1261125,728,73 131S,,2016,Ford,Transit Connect XLT Wagon SWB,"13,878","16,811","2,933", , ,,,,,,,
FAC MGMT,NM0AE8F70G1254589,729,73 130S,,2016,Ford,Transit Connect XLT Wagon SWB,"14,829","17,265","2,436", , ,,,,,,,
FAC MGMT,NM0LS7E78G1233759,730,73 133S,,2016,Ford,Transit Connect XL Van LWB,"23,451","26,651","3,200", , ,,,,,,,
FAC MGMT,1FTBF2B66HED45262,731,73 134S,,2017,Ford,F250 4x4 Reg Cab SS SRW,"30,707","34,688","3,981", , ,,,,,,,
FAC MGMT,1GT11REG1HF104775,732,73 135S,,2017,GMC,Sierra P/U 2WD Crew Cab,"24,615","26,037","1,422", , ,,,,,,,
FAC MGMT,1GT01REG3HZ237225,733,73 136S,,2017,GMC,Sierra P/U 2WD Reg Cab,"18,058","20,265","2,207", , ,,,,,,,
FAC MGMT,1GCHTBEN9H1181955,734,73 137S,,2017,Chevrolet,Colorado P/U 4x4,"22,537","23,933","1,396", , ,,,,,,,
FAC MGMT,NM0AS8F70H1325803,735,73 138S,,2017,Ford,Transit Connect XLT Wagon SWB,"19,819","22,940","3,121", , ,,,,,,,
FAC MGMT,NM0LS7E70G1252063,736,73 139S,,2016,Ford,Transit Connect XL Van LWB,"34,598","38,711","4,113", , ,,,,,,,
FAC MGMT,1FTYR1ZM7GKA23259,740,73 145S,,2016,Ford,Transit 250 Cargo Van,"35,250","37,165","1,915", , ,,,,,,,
FAC MGMT,1FTYR1ZM9GKA30410,741,73 146S,,2016,Ford,Transit 250 Cargo Van,"30,576","31,571",994,, ,,,,,,,
FAC MGMT,1FTYR1ZM5GKA23258,742,73 147S,,2016,Ford,Transit 250 Cargo Van,"42,451","45,434","2,983",, ,,,,,,,
FAC MGMT,1GCHSBEA5H1223957,743,74 154S,,2017,Chevrolet,Colorado 2WD Ext. Cab,"24,190","26,942","2,752",, ,,,,,,,
FAC MGMT,3C6TRVDG0HE516277,744,74 153S,,2017,Dodge,Ram Promaster Van,"41,480","43,240","1,759",, ,,,,,,,
FAC MGMT,ZFBERFAB3H6G39115,747,74 160S,,2017,Dodge,Ram Promaster City Van,"17,795","19,054","1,260",, ,,,,,,,
