,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2023 Odometer Reading,"ACTUAL
2023 mileage",6/30/2024 Odometer Reading,"REVISED 
Annual Mileage",Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,1FTYR1ZM5GKA23258,742,73 147S,,2016,Ford,Transit 250 Cargo Van,"39,094","39,094","42,451","3,357","3,357",, ,,,,,,,
FAC MGMT,1FDUF4HYXHEB86125,721,73 123S,,2017,Ford,F450 4x4 Reg Cab,"21,171","21,171","24,473","3,302","3,302", , ,,,,,,,
FAC MGMT,1E9EB25S7KP363234,894,5834L,,2019,E-Ride,Patriot MXV4,"2,676","2,676","5,964","3,288","3,288",, ,,,,,,,
FAC MGMT,1FT7W2B60NED16793,979,80 747S,,2022,Ford,F250 4x4 crew cab ,"4,383","4,383","7,627","3,244","3,244",, ,,,,,,,
FAC MGMT,3GCPKSE73CG123205,544,63 656S,,2012,Chevrolet,Silverado 1500 LT Crew Cab 4WD,"20,309","20,309","23,544","3,234","3,234", , ,,,,,,,
FAC MGMT,1FDUF5GY4JEB23387,799,75 606S,,2018,Ford,F550 w/service crane,"9,087","9,087","12,318","3,231","3,231",, ,,,,,,,
FAC MGMT,1FDBF2A66JEB41614,783,74 186S,,2018,Ford,F250 w/reading utility body,"16,298","16,298","19,509","3,211","3,211",, ,,,,,,,
FAC MGMT,3N63M0YN0HK719428,768,74 175S,,2017,Chevrolet,City Express Cargo Van,"19,058","19,058","22,263","3,205","3,205",, ,,,,,,,
FAC MGMT,1FTNR2CM3FKB11211,661,69 920S,,2015,Ford,Transit 250 Mid Roof,"21,739","21,739","24,879","3,140","3,140", , ,,,,,,,
FAC MGMT,1FT7W2A67KEC43483,822,76 505S,,2019,Ford,F250 4x2 Crew Cab,"15,737","15,737","18,865","3,128","3,128",, ,,,,,,,
FAC MGMT,1GTH5BEA2K1194738,893,76 538S,,2019,GMC,Canyon 2WD      Ext Cab,"7,317","7,317","10,403","3,087","3,087",, ,,,,,,,
FAC MGMT,1GCHSBEA5H1223957,743,74 154S,,2017,Chevrolet,Colorado 2WD Ext. Cab,"21,117","21,117","24,190","3,073","3,073",, ,,,,,,,
FAC MGMT,1FDRF3HT3FEA23785,591,67 476S,,2015,Ford,F350 4X4,"42,302","42,302","45,351","3,049","3,049", , ,,,,,,,
FAC MGMT,1HTKHPVK9NH779317,1050,84 057S,,2022,Chevrolet,Sliverado 5500 w/liftgate Utility Body,814,814,"3,819","3,005","3,005",, ,,,,,,,
FAC MGMT,NM0LS7E75G1291375,708,73 105S,,2016,Ford,Transit Connect Van,"12,904","12,904","15,881","2,977","2,977", , ,,,,,,,
